category,item,description,is_advanced,Debezium,Flink,Airbyte,Estuary,Arcion,Decodable,Hevo,Fivetran,Striim,StreamSets,Qlik,Upsolver,AWS,GCP
<b>Source support</b>,<b>Oracle</b>,,FALSE,%Y%[<p>LogMiner or XStream</p>](https://debezium.io/documentation/reference/stable/connectors/oracle.html),%Y%[<p>LogMiner or XStream</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/oracle-cdc.html),%N%[<p>None</p>](https://docs.airbyte.com/integrations/sources/oracle/),%N%[<p>None</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/),%Y%[<p>LogMiner; XStream; GG trail or native redo</p>](https://docs.arcion.io/docs/source-setup/oracle/),%U%[<p>Indirect using LogMiner</p>](https://docs.decodable.co/docs/connector-reference-oracle-cdc),%Y%[<p>LogMiner</p>](https://docs.hevodata.com/sources/dbfs/databases/oracle/generic-oracle/),%Y%[<p>LogMiner</p>](https://fivetran.com/docs/databases/oracle),%Y%[<p>LogMiner or OJet or GoldenGate</p>](https://www.striim.com/docs/platform/en/oracle-database-cdc.html),%Y%[<p>LogMiner</p>](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/OracleC.html),%Y%[<p>LogMiner</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/Oracle/oracle_source_intro.htm),%N%,%Y%[<p>LogMiner or AWS DMS Binary Reader</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.Oracle.html#CHAP_Source.Oracle.CDC),%Y%[<p>LogMiner</p>](https://cloud.google.com/datastream/docs/sources-oracle )
,<b>MySQL</b>,,FALSE,%Y%[<p>Binary logs</p>](https://debezium.io/documentation/reference/stable/connectors/mysql.html),%Y%[<p>Binary logs</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/mysql-cdc.html),%Y%[<p>Binary logs</p>](https://docs.airbyte.com/integrations/sources/mysql),%Y%[<p>Binary logs</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/MySQL/),%Y%[<p>Binary logs</p>](https://docs.arcion.io/docs/source-setup/mysql/),%Y%[<p>Binary logs</p>](https://docs.decodable.co/docs/connector-reference-mysql-cdc),%Y%[<p>Binary logs</p>](https://docs.hevodata.com/sources/dbfs/databases/mysql/),%Y%[<p>Binary logs</p>](https://fivetran.com/docs/databases/mysql),%Y%[<p>Binary logs</p>](https://debezium.io/documentation/reference/stable/connectors/mysql.html),%Y%[<p>Binary logs</p>](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/MySQLBinaryLog.html),%Y%[<p>Binary logs</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/MySQL/MySQL_source.htm),%Y%[<p>Binary logs</p>](https://docs.upsolver.com/sqlake/data-ingestion/ingest-your-s3-data-1#prerequisites-for-mysql),%Y%[<p>Binary logs</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.MySQL.html),%Y%[<p>Binary logs</p>](https://cloud.google.com/datastream/docs/sources-mysql)
,<b>SQL server</b>,,FALSE,%Y%[<p>MS-CDC</p>](https://debezium.io/documentation/reference/stable/connectors/sqlserver.html),%Y%[<p>MS-CDC</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/sqlserver-cdc.html),%Y%[<p>MS-CDC</p>](https://docs.airbyte.com/integrations/sources/mssql),%Y%[<p>MS-CDC</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/sqlserver/),%Y%[<p>MS-CT or Arcion CDC Agent</p>](https://docs.arcion.io/docs/source-setup/sqlserver/),%U%[<p>Indirect using MS-CDC</p>](https://docs.decodable.co/docs/connector-reference-mssql-cdc),%Y%[<p>MS-CT</p>](https://docs.hevodata.com/sources/dbfs/databases/mssql/generic-mssql/),%Y%[<p>MS-CT or MS-CDC</p>](https://fivetran.com/docs/databases/sql-server),%Y%[<p>MS-CDC</p>](https://www.striim.com/docs/platform/en/sql-server-cdc.html),%Y%[<p>MS-CT or MS-CDC</p>](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/SQLServerCDC.html),%Y%[<p>MS-Replication or MS-CDC</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/SQL%20Server/SQLServer_DB_source.htm),%N%,%Y%[<p>MS-Replication or MS-CDC</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.SQLServer.html),%N%
,<b>PostgreSQL</b>,,FALSE,%Y%[<p>Logical replication</p>](https://debezium.io/documentation/reference/stable/connectors/postgresql.html),%Y%[<p>Logical replication</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/postgres-cdc.html),%Y%[<p>Logical replication</p>](https://docs.airbyte.com/integrations/sources/postgres/),%Y%[<p>Logical replication</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/PostgreSQL/),%Y%[<p>Logical replication</p>](https://docs.arcion.io/docs/source-setup/postgresql/),%Y%[<p>Logical replication</p>](https://docs.decodable.co/docs/connector-reference-postgres-cdc),%Y%[<p>Logical replication</p>](https://docs.hevodata.com/sources/dbfs/databases/postgresql/),%Y%[<p>Logical replication</p>](https://fivetran.com/docs/databases/postgresql),%Y%[<p>Logical replication</p>](https://www.striim.com/docs/platform/en/postgresql-cdc.html),%Y%[<p>Logical replication</p>](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/PostgreSQL.html),%Y%[<p>Logical replication</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/PostgreSQL/postgresql_source.htm),%Y%[<p>Logical replication</p>](https://docs.upsolver.com/sqlake/data-ingestion/ingest-your-s3-data-1#prerequisites-for-postgresql),%Y%[<p>Logical replication</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.PostgreSQL.html#CHAP_Source.PostgreSQL.Security),%Y%[<p>Logical replication</p>](https://cloud.google.com/datastream/docs/sources-postgresql)
,<b>MongoDB</b>,,FALSE,%Y%[<p>Oplogs</p>](https://debezium.io/documentation/reference/stable/connectors/mongodb.html),%Y%[<p>Oplogs</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/mongodb-cdc.html),%N%[<p>None</p>](https://docs.airbyte.com/integrations/sources/mongodb-v2),%Y%[<p>Oplogs</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/mongodb/),%Y%[<p>Oplogs</p>](https://docs.arcion.io/docs/source-setup/mongodb/),%Y%[<p>Oplogs</p>](https://docs.decodable.co/docs/connector-reference-mongodb-cdc),%Y%[<p>Oplogs</p>](https://docs.hevodata.com/sources/dbfs/databases/mongodb/),%Y%[<p>Oplogs</p>](https://fivetran.com/docs/databases/mongodb),%Y%[<p>Oplogs</p>](),%Y%[<p>Oplogs</p>](https://docs.streamsets.com/portal/platform-datacollector/latest/datacollector/UserGuide/Origins/MongoDBOplog.html),%Y%[<p>Oplogs</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/MongoDB_Source/mongodb_as_source.htm),%N%,%Y%[<p>Oplogs</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.MongoDB.html#CHAP_Source.MongoDB.PrerequisitesCDC.ReplicaSet),%N%
,<b>IBM DB2</b>,,FALSE,%Y%[<p>Link</p>](https://debezium.io/documentation/reference/stable/connectors/db2.html),%Y%[<p>Link</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/db2-cdc.html),%N%[<p>None</p>](https://docs.airbyte.com/integrations/sources/db2),%N%[<p>None</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/),%Y%[<p>Link</p>](https://docs.arcion.io/docs/source-setup/db2/),%N%[<p>None</p>](https://docs.decodable.co/docs/connector-reference),%N%,%N%[<p>None</p>](https://fivetran.com/docs/databases),%Y%[<p>Link</p>](),%N%,%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/November2022/Content/Replicate/Main/IBM%20DB2%20for%20LUW/db2.htm#Using%20IBM%20DB2%20for%20LUW%20as%20a%20source),%N%,%Y%[<p>Link</p>](https://docs.aws.amazon.com/dms/latest/userguide/CHAP_Source.DB2.html),%N%
,<b>Cassandra</b>,,FALSE,%Y%[<p>Link</p>](https://debezium.io/documentation/reference/stable/connectors/cassandra.html),%N%[<p>None</p>](https://ververica.github.io/flink-cdc-connectors/master/content/connectors/index.html#),%N%[<p>None</p>](https://docs.airbyte.com/category/sources),%N%[<p>None</p>](https://docs.estuary.dev/reference/Connectors/capture-connectors/),%Y%[<p>Link</p>](https://docs.arcion.io/docs/source-setup/cassandra/),%N%[<p>None</p>](https://docs.decodable.co/docs/connector-reference),%N%,%N%,%N%,%N%,%N%,%N%,%N%,%N%
<b>Destination support (DWH/DLH)</b>,<b>BigQuery</b>,,FALSE,%N%,%N%[<p>Feature request</p>](https://issues.apache.org/jira/browse/FLINK-22665),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%N%[<p>Link</p>](https://www.decodable.co/connectors?tags=Sink),%Y%[<p>Link</p>](https://docs.hevodata.com/destinations/data-warehouses/google-bigquery/),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/May2022/Content/Replicate/Main/Google%20Cloud%20BigQuery/bigquery_postgresql.htm),%N%,%N%,%Y%
,<b>Redshift</b>,,FALSE,%N%,%N%[<p>Feature request</p>](https://cwiki.apache.org/confluence/display/FLINK/FLIP-307%3A++Flink+Connector+Redshift),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%N%,%Y%[<p>Link</p>](https://docs.decodable.co/docs/connector-reference-redshift),%Y%[<p>Link</p>](https://docs.hevodata.com/destinations/data-warehouses/amazon-redshift/),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%N%,%Y%[<p>Link</p>](https://help.qlik.com/en-US/replicate/May2022/Content/Replicate/Main/Amazon%20Redshift/redshift.htm),%Y%[<p>Link</p>](https://docs.upsolver.com/sqlake/connectors/connect-to-your-redshift-database),%Y%,%N%
,<b>Snowflake ([blog](https://www.snowflake.com/blog/category/product-and-technology/))</b>,,FALSE,%N%,%N%,%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](https://docs.decodable.co/docs/connector-reference-snowflake),%Y%[<p>Link</p>](https://docs.hevodata.com/destinations/data-warehouses/snowflake/),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>Link</p>](),%Y%[<p>AWS; Azure; GCP</p>](https://help.qlik.com/en-US/replicate/May2022/Content/Replicate/Main/Snowflake%20Target/SNOW.htm),%Y%[<p>Link</p>](https://docs.upsolver.com/sqlake/connectors/connect-to-your-snowflake-database),%N%,%N%
